service_id,date,exception_type
22220-8WE,20200730,2
22220-8WE,20200731,2
22220-8WE,20200801,2
22220-8WE,20200802,2
22220-8WE,20200803,2
22220-8WE,20200804,2
22220-8WE,20200805,2
22220-8WE,20200806,2
22220-8WE,20200807,2
22220-8WE,20200808,2
22220-8WE,20200809,2
22220-8WE,20200810,2
22220-8WE,20200811,2
22220-8WE,20200812,2
22220-8WE,20200813,2
22220-8WE,20200814,2
22220-8WE,20200815,2
22220-8WE,20200816,2
22220-8WE,20200817,2
22220-8WE,20200818,2
22220-8WE,20200819,2
22220-8WE,20200820,2
22220-8WE,20200821,2
22220-8WE,20200822,2
22220-8WE,20200823,2
22220-8WE,20200824,2
22220-8WE,20200825,2
22220-8WE,20200826,2
22220-8WE,20200827,2
22220-8WE,20200828,2
22220-8WE,20200829,2
22220-8WE,20200830,2
22220-8WE,20200831,2
22220-8WE,20200901,2
22220-8WE,20200902,2
22220-8WE,20200903,2
22220-8WE,20200904,2
22220-8WE,20200905,2
22220-8WE,20200906,2
22220-8WE,20200907,2
22220-8WE,20200908,2
22220-8WE,20200909,2
22220-8WE,20200910,2
22220-8WE,20200911,2
22220-8WE,20200912,2
22220-8WE,20200913,2
22220-8WE,20200914,2
22220-8WE,20200915,2
22220-8WE,20200916,2
22220-8WE,20200917,2
22220-8WE,20200918,2
22220-8WE,20200919,2
22220-8WE,20200920,2
22220-8WE,20200921,2
22220-8WE,20200922,2
22220-8WE,20200923,2
22220-8WE,20200924,2
22220-8WE,20200925,2
22220-8WE,20200926,2
22220-8WE,20200927,2
22220-8WE,20200928,2
22220-8WE,20200929,2
22220-8WE,20200930,2
22220-8WE,20201001,2
22220-8WE,20201002,2
22220-8WE,20201003,2
22220-8WE,20201004,2
22220-8WE,20201005,2
22220-8WE,20201006,2
22220-8WE,20201007,2
22220-8WE,20201008,2
22220-8WE,20201009,2
22220-8WE,20201010,2
22220-8WE,20201011,2
22220-8WE,20201012,2
22220-8WE,20201013,2
22220-8WE,20201014,2
22220-8WE,20201015,2
22220-8WE,20201016,2
22220-8WE,20201017,2
22220-8WE,20201018,2
22220-8WE,20201019,2
22220-8WE,20201020,2
22220-8WE,20201021,2
22220-8WE,20201022,2
22220-8WE,20201023,2
22220-8WE,20201024,2
22220-8WE,20201025,2
22220-8WE,20201026,2
22220-8WE,20201027,2
22220-8WD,20200730,2
22220-8WD,20200731,2
22220-8WD,20200801,2
22220-8WD,20200802,2
22220-8WD,20200803,2
22220-8WD,20200804,2
22220-8WD,20200805,2
22220-8WD,20200806,2
22220-8WD,20200807,2
22220-8WD,20200808,2
22220-8WD,20200809,2
22220-8WD,20200810,2
22220-8WD,20200811,2
22220-8WD,20200812,2
22220-8WD,20200813,2
22220-8WD,20200814,2
22220-8WD,20200815,2
22220-8WD,20200816,2
22220-8WD,20200817,2
22220-8WD,20200818,2
22220-8WD,20200819,2
22220-8WD,20200820,2
22220-8WD,20200821,2
22220-8WD,20200822,2
22220-8WD,20200823,2
22220-8WD,20200824,2
22220-8WD,20200825,2
22220-8WD,20200826,2
22220-8WD,20200827,2
22220-8WD,20200828,2
22220-8WD,20200829,2
22220-8WD,20200830,2
22220-8WD,20200831,2
22220-8WD,20200901,2
22220-8WD,20200902,2
22220-8WD,20200903,2
22220-8WD,20200904,2
22220-8WD,20200905,2
22220-8WD,20200906,2
22220-8WD,20200907,2
22220-8WD,20200908,2
22220-8WD,20200909,2
22220-8WD,20200910,2
22220-8WD,20200911,2
22220-8WD,20200912,2
22220-8WD,20200913,2
22220-8WD,20200914,2
22220-8WD,20200915,2
22220-8WD,20200916,2
22220-8WD,20200917,2
22220-8WD,20200918,2
22220-8WD,20200919,2
22220-8WD,20200920,2
22220-8WD,20200921,2
22220-8WD,20200922,2
22220-8WD,20200923,2
22220-8WD,20200924,2
22220-8WD,20200925,2
22220-8WD,20200926,2
22220-8WD,20200927,2
22220-8WD,20200928,2
22220-8WD,20200929,2
22220-8WD,20200930,2
22220-8WD,20201001,2
22220-8WD,20201002,2
22220-8WD,20201003,2
22220-8WD,20201004,2
22220-8WD,20201005,2
22220-8WD,20201006,2
22220-8WD,20201007,2
22220-8WD,20201008,2
22220-8WD,20201009,2
22220-8WD,20201010,2
22220-8WD,20201011,2
22220-8WD,20201012,2
22220-8WD,20201013,2
22220-8WD,20201014,2
22220-8WD,20201015,2
22220-8WD,20201016,2
22220-8WD,20201017,2
22220-8WD,20201018,2
22220-8WD,20201019,2
22220-8WD,20201020,2
22220-8WD,20201021,2
22220-8WD,20201022,2
22220-8WD,20201023,2
22220-8WD,20201024,2
22220-8WD,20201025,2
22220-8WD,20201026,2
22220-8WD,20201027,2
